,名称/规格,规格,批准文号,月售,评分,currentPrice,originalPrice
87,济民可信 复方鲜竹沥液(无蔗糖) 20ml*6支,20ml*6支,国药准字Z36021946,月售4份,评分4,21.8,
88,加合百服宁 酚咖片 10片,10片,国药准字H10960013,月售4份,,8.9,
89,仁和 氨咖黄敏胶囊 24粒,24粒,国药准字H34023208,月售4份,评分4,18.5,
90,芬必得 酚咖片 20片/盒,20片,国药准字H20066878,月售4份,评分4,16.83,20.8
91,云南白药 伤风停胶囊 24粒,0.35g*24粒,国药准字Z53021628,月售3份,评分4,16.8,
92,巴米尔  阿司匹林泡腾片 0.5g*10片,0.5g,国药准字H32026201,月售3份,评分4.2,5.8,
93,【处方药】西安碑林 金嗓利咽丸 36g*360丸,36g*360丸,国药准字Z61020812,月售3份,,19.7,
94,潘高寿 蜜炼川贝枇杷膏 138g,138g,国药准字Z44022396,月售3份,评分4.4,17.6,
95,健兴 肺力咳胶囊 0.3g*30粒/盒,0.3g*30粒/盒,国药准字Z20025240,月售2份,评分4,29.8,
96,仁和 感冒止咳颗粒 10g*9袋,10g*9袋,国药准字Z20055505,月售2份,评分4,26.3,
97,仁和 精制银翘解毒片 12片*2板,24片,国药准字Z36021788,月售2份,评分4,12.5,
98,潘高寿 治咳川贝枇杷露 150ml/瓶,150ml/瓶,国药准字Z44022393,月售2份,,14.2,
99,仁和 克咳片 0.5g*12片,0.5g*12片,国药准字Z20050040,月售2份,评分4.5,18.9,
100,同仁堂 秋梨润肺膏 50g,50g,国药准字Z11020370,月售2份,评分4,15.5,
101,仁和 盐酸氨溴索分散片 30mg*20片,30mg*20片,国药准字H20100188,月售2份,,23.1,
102,同仁堂 气管炎丸 300丸,300s水丸,国药准字Z11020250,月售2份,评分5,12,
103,仁和 复方鲜竹沥液 10毫升*6瓶,10毫升*6瓶,国药准字Z20153065,月售2份,评分4.2,28,
104,[仁和]复方半夏片0.39gx15片x3板,,,月售1份,,15.5,
105,仁和 通宣理肺片0.3g*12片*3板,0.3g*12片*3板,国药准字z20027040,月售1份,评分5,15.8,
106,安邦 银黄清肺胶囊 0.15g*24粒,0.15g*24粒,国药准字Z20020075,月售1份,,41.7,
107,敬修堂  喉症丸 60粒/瓶*2瓶装/盒,60粒/瓶*2瓶装/盒,国药准字Z44020859,月售1份,,5,
108,仁和 复方银翘氨敏胶囊 15粒,15粒,国药准字H36022108,月售1份,,24.2,
109,立欣平 硫酸沙丁胺醇气雾剂 100μg*200揿/支,100μg*200揿,国药准字H20113348,月售1份,,25.5,
110,仁和 感冒灵胶囊 0.5g*18粒,0.5g*18粒,国药准字Z20044039,月售1份,评分4,19.9,
111,止-咳化痰([济民可信]黄氏响声丸+[江中]复方草珊瑚含片(不含蔗糖),,,月售1份,评分4.5,42,
112,华芬 愈美颗粒 12袋,12袋,国药准字H19990040,月售1份,,23.1,
113,护佑 苏黄止咳胶囊 0.45g*24粒/盒,0.45G*24粒,国药准字Z20103075,月售1份,评分5,96,
114,午时 午时茶颗粒 6g*20袋,6g*20袋,国药准字Z42020134,月售1份,,17.6,
115,仁和 复方北豆根氨酚那敏片 12片/盒,12片,国药准字Z36021959,月售1份,,10.5,
116,同仁堂 止咳橘红丸 6克*10丸/盒,6克*10丸/盒,国药准字Z11020093,,评分4,20.9,
117,三金 蛤蚧定喘胶囊 0.5g*20粒,0.5g*20粒,国药准字Z10940033,,评分4,18.3,
118,[仁和可立克]复方氨酚烷胺胶囊+[新康泰克]通气鼻贴(透明型)12粒x2板+10片(标准),,,,,35,
119,天原 金莲花颗粒 3g*6袋 (无糖型),3g*6袋,国药准字Z10920022,,,36,
120,纽兰 雪梨膏 120g,120g,国药准字Z42020769,,,12.6,
121,[克快好]强力枇杷露+[仁和可立克]复方氨酚烷胺胶囊150ml+12粒x2板,,,,评分4,28,
122,咽炎用药([慢严舒柠]清喉利咽颗粒(乳糖型)+[慢严舒柠]复方青橄榄利咽含片),,,,评分4,174,
123,[克快好]川贝清肺糖浆+[仁和]清热解毒颗粒100mlx2盒+18gx10袋,,,,,36,
124,[仁和可立克]复方氨酚烷胺胶囊+黄氏响声丸(炭衣丸)12粒x2板+0.133gx36丸x4板,,,,,45,
125,[仁和]阿酚咖敏片12片x1板,,,,,5.2,
126,止咳化痰([天施康]复方鲜竹沥液+[仁和]蒲地蓝消炎片)10mlx10支x2盒+0.3gx48片,,,,评分4.2,41,
127,桂龙咳喘宁胶囊+[同仁堂]感冒清热颗粒0.5gx12粒x4板+12gx10袋,,,,,57.5,
128,感冒用药([同仁堂]感冒清热颗粒+[仁和]风寒咳嗽颗粒+[仁和]蒲公英颗粒),,,,,58.5,
129,[仁和可立克]复方氨酚烷胺胶囊+[新康泰克]盐酸赛洛唑啉鼻用喷雾剂,,,,,76,
130,金龙 痰咳净散 6g,6G,国药准字Z44020589,,评分4,4.7,
131,同仁堂 喉症丸 100粒 /盒,100粒,国药准字211020247,,,18.5,
132,富露施 乙酰半胱氨酸泡腾片 600mg*4片,600mg*4片,国药准字H20090620,,,27.5,
133,达菲 磷酸奥司他韦胶囊 75mg*10片,75mg*10片,国药准字H20140345,,,233,
134,舒利迭 沙美特罗替卡松粉吸入剂50ug:500ug 60泡,60泡,国药准字H20150325,,,368,
135,天晴速乐 噻托溴铵粉雾剂 18ug*30粒/盒,18ug*30粒,国药准字H20060454,,,165,
136,【处方药】辅舒酮 丙酸氟替卡松吸入气雾剂 50ug*120揿/盒,50ug*120揿,注册证号H20130189,,,98,
137,感冒发热鼻塞组合（感冒灵颗粒+蒲地蓝消炎片+通气鼻贴）,,,,,45,
138,贵州百灵 咳速停糖浆 250ml,250mL,国药准字Z20025238,,,25,
139,先声 咳喘宁口服液 10ml*6支/盒,10ml*6支,国药准字Z32020967,,,24.8,
140,必理通 对乙酰氨基酚片 0.5g*10片,0.5g*10片,国药准字H12021118,,,6.1,
141,仁和 克咳片 0.5g*16片,0.5g*16片,国药准字Z20050040,,,20.8,
142,神奇 枇杷止咳胶囊 0.25g*24粒/盒,0.25g*24粒,国药准字Z20055157,,,16.8,
143,星银 葛根汤合剂 120ml/瓶,120mL,国药准字Z20040087,,,49.8,
144,昆中药 止咳丸 30丸*2板/盒,30丸*2板,国药准字Z53021162,,,41,
145,999 盐酸氨溴索缓释胶囊 75mg*6粒,75mg*6粒,国药准字H20030640,,,35.6,
146,仁和 咳喘舒片 0.25gx12片x4板,0.25gx12片x4板,国药准字Z20025611,,,24,
147,桑海 海珠喘息定片 0.52g*50片/盒,0.52g*50片/盒,国药准字Z20073306,,,10.7,
148,仁和 肺宁胶囊 0.4gx12粒x2板,0.4gx12粒x2板,国药准字Z20050687,,,24,
149,【处方药】辅舒酮 丙酸氟替卡松吸入气雾剂 125ug*60揿,125ug*60揿,注册证号H20130190,,,74.4,
150,爱全乐 异丙托溴铵气雾剂 20ug/钦*200:10ml,20ug/钦*200:10ml,国药准字H20130135,,,58.3,
151,思力华 噻托溴铵粉吸入剂 18ug*10粒,18ug*10粒,国药准字H20100194,,,158,
152,同仁堂 鹭鸶咯丸 1.5g*10丸/盒,1.5g*10丸/盒,国药准字Z11021282,,,15,
153,仁和 强力枇杷露 150ml,150mL,国药准字Z36021750,,评分4.2,21.8,
154,【处方药】健兴 肺力咳合剂 150ml*1瓶/盒,150mL,国药准字Z20025136,,,42.5,
155,可威 磷酸奥司他韦胶囊 75mgx6粒,75mgx6粒,国药准字H20065415,,,105,
156,鼻塞通气组包([新康泰克]通气鼻贴+[同仁堂]感冒清热颗粒),,,,评分4,44,
157,仁和 桂龙咳喘宁片 0.41g*24片,0.41g*24片,国药准字Z20050134,,,20.8,
158,普米克令舒 吸入用布地奈德混悬液 2ml:1mg*5支 / 袋,2ml:1mg*5支,进口药品注册证号H20140475,,,78,
159,百令胶囊 0.5g*42粒/盒,0.5g*42粒/盒,国药准字Z10910036,,,79.8,
160,舒利迭 沙美特罗替卡松粉吸入剂 60泡(50μg:250μg)(含1个准纳器),60泡(50μg:250μg)(含1个准纳器),进口药品注册证号:H20150324,,评分4,228,
161,百灵 感清糖浆 100ml,100mL,国药准字Z20025480,,,14.1,
162,健兴 肺力咳合剂 100ml/瓶,100ml/瓶,国药准字Z20025136,,,26.8,
163,好娃娃 盐酸氨溴索口服溶液 5ml*10支,5ml*10支,国药准字H20065542,,,34.4,
164,仁和 氢溴酸右美沙芬糖浆 100ml,100mL,国药准字H20073933,,评分4,20.8,
165,信必可都保 布地奈德福莫特罗粉吸入剂 160ug/4.5ug/吸 60吸,60吸/支,H20140458,,,238,
166,仁和  氨咖黄敏片  24片/盒,24片,国药准字H36021871,,,13.8,
167,同仁堂 利肺片 0.25g*40粒/瓶,0.25g*40片/瓶,国药准字Z11020294,,,69,
168,贵州百灵 咳清胶囊 0.35g*24粒,0.35g*12s*2板,国药准字Z20025223,,评分5,30.2,
169,云龙 小柴胡胶囊 0.39g*20粒/盒,0.39g*20粒/盒,国药准字Z20080640,,评分4,24.2,
170,维威 橘红痰咳颗粒 10克*12袋,10克*12袋,国药准字Z20083201,,,22.5,
171,昆中药 清肺化痰丸 6gx8袋,6gx8袋,国药准字Z53020763,,,38.9,
172,盘龙云海 灵丹草颗粒 3g*18袋,3g*18袋,国药准字Z53021634,,评分4,41.8,
173,司邦得 莱阳梨膏 200g,200g,国药准字Z37021216,,,41,
174,松柏 治咳川贝枇杷滴丸 30mg*50丸,30mg*50丸,国药准字Z20010128,,,41.8,
175,西峰 补肺丸 9g*10丸*4板,9g*10丸*4板,国药准字Z62020558,,,313.5,
176,同仁堂 清音丸 3g*10粒,3g*10s大蜜丸,国药准字Z11020173,,评分4,27.3,
177,兰美抒 盐酸特比萘芬乳膏 10g(1%),10g(1%),国药准字H20150190,月售4份,评分5,27.3,
178,息斯敏 氯雷他定片 10mg*6片*2板 过敏防过敏,10mg*6片*2板,国药准字H20070030,月售13份,评分4.2,38.5,39.8
179,[芙美松]糠酸莫米松乳膏+[仁和]湿毒清片+氯雷他定片(舍泰),,,,,42,
180,角质型脚气组合([九芝堂]足光散+[金达克宁]酮康唑乳膏)40gx3袋+15g,,,月售2份,,29.9,
181,糜烂型脚气组合([金达克宁]酮康唑乳膏+[达克宁]硝酸咪康唑散)15g(金达克宁)+40g(达克宁),,,月售2份,,56,
182,开瑞坦 氯雷他定片 10mg*6片 过敏,10mg*6片,国药准字H10970410,月售28份,评分4.7,19.6,28.4
183,马应龙 龙珠软膏 15g（新老包装随机发货）,15g,国药准字Z10950017,月售3份,评分4.7,25.8,
184,【处方药】澳能 卤米松乳膏 10g(1g：0.5mg),10g(1g：0.5mg),HC20150050,月售3份,,29.8,
185,澳美制药 复方氟米松软膏 10g,10g,医药产品注册证号:HC20140031,,,28,
186,班赛 过氧苯甲酰凝胶 15g:5%,15g:5%,国药准字H20140076,月售3份,评分4,33.2,
187,丽泽 聚维酮碘溶液 250ml:12.5g,250mL,国药准字H32024086,,评分4.5,24.9,
188,达克宁 盐酸特比萘芬喷雾剂30ml,30mL,国药准字H20113280,月售12份,评分4.3,42.9,45.8
189,尤卓尔 丁酸氢化可的松乳膏 20g：20mg,20G：20MG,国药准字H10940095,月售2份,评分4,27.8,
190,尤伯松 丁酸氢化可的松乳膏(运动员慎用) 30g,30g,国药准字H20074171,月售1份,,31.4,
191,仁和 湿毒清片 0.5g*24片/盒,0.5G*24片,国药准字Z20050472,月售2份,评分4.3,20.9,
192,采乐 酮康唑洗剂 2%*50ml,2%50ml,国药准字H20000588,月售5份,评分5,41.5,
193,仙琚 糠酸莫米松乳膏 10g:10mg,10g,国药准字H20050610,,评分4,31.3,
194,邦迪 邦廸 苯扎氯铵贴防水型 创可贴 20片,2.25cm*1.27cm*20片,国药准字H10920011,,评分5,24,
195,龙虎 风油精 6毫升,6毫升,国药准字Z22022312,,,21.8,
196,开瑞坦 氯雷他定糖浆 60ml：60mg(0.1%) 过敏,60ml：60mg(0.1%),H20120436,月售3份,评分4.5,41.8,
197,运佳黄浦 硫软膏 25g,25g(10%),国药准字H31021364,,,20.8,
198,信龙 炉甘石洗剂 100ml,100mL,国药准字H31022790,月售15份,评分4,8.2,20
199,开瑞坦 氯雷他定片 10mg*12片 过敏,10mg*12片,国药准字H10970410,月售10份,评分3.8,34.89,54
200,曼秀雷敦 复方薄荷脑软膏 28g,28g,国药准字H20013294,月售1份,评分4,31,
201,海外 烧烫伤膏 40g,40g,国药准字Z22021421,月售6份,,29.8,
202,999皮炎平 糠酸莫米松凝胶 10g,10g,国药准字H20080010,月售1份,评分4.3,29.8,
203,仁和 氯雷他定片 10mg*12片,10mg*12片,国药准字H20040797,月售10份,评分4,22,
204,芙原 积雪苷霜软膏 2.5%*20g,2.5%*20g,国药准字Z46020054,月售5份,,29.8,
205,唯达宁 硝酸益康唑喷雾剂 80ml,80mL,国药准字H20163086,月售1份,,48.1,
206,百多邦 莫匹罗星软膏 5g,2%5g,国药准字H10930064,月售25份,评分4.6,16.3,19.9
207,达克宁 硝酸咪康唑乳膏 20g,20g,国药准字H61020001,月售18份,评分4.3,19.3,26.9
208,艾洛松 糠酸莫米松乳膏0.1%（10g:10mg) 10g/支,0.1%10g,国药准字H19991418,月售13份,,18.6,24.8
209,好德快 利多卡因氯己定气雾剂 60g,60g,国药准字H44024771,,评分4.5,27.8,
210,息斯敏 氯雷他定片 过敏防过敏 10mg*6片,10mg*6片,国药准字H20070030,月售9份,评分4.3,21.6,26.9
211,明太医 拔毒膏 0.5gx2贴x2袋,0.5gx2贴x2袋,国药准字Z41020378,月售1份,,19.8,
212,【处方药】奥络 夫西地酸乳膏 10g:0.2g,10g,HC20150043,月售23份,评分4,20,
213,希尔生 二硫化硒洗剂 100g,100g,国药准字H10800003,月售1份,,26.5,
214,仙特明 盐酸西替利嗪片 10毫克*5片,10毫克*5片,国药准字H20050403,月售16份,,21.9,
215,派瑞松 曲安奈德益康唑乳膏 15g,15g,国药准字H20000454,月售2份,,19.2,25
216,【处方药】华洋奎龙 皮肤康洗液 50ml,50mL,国药准字Z19990045,月售6份,,28,
217,皮康王 复方酮康唑软膏 20g,20g,国药准字H53022106,,,26,
218,盘龙云海 排毒养颜胶囊 0.4gx60粒,0.4gX60粒,国药准字Z53020685,,评分4,96.04,123.9
219,仁和 曲安奈德益康唑乳膏 24g,24克,国药准字H20064180,月售1份,评分4.5,23.6,
220,【处方药】华邦 地奈德乳膏 15g(0.05%),15g(0.05%),国药准字H20060725,月售4份,,26.8,
221,痤康王 克林霉素甲硝唑搽剂 40ml,40mL,国药准字H53021776,,,41,
222,舒笑 丹皮酚软膏 20g,20g,国药准字Z20063945,月售1份,,25.7,
223,彼康王 酮康唑乳膏 20g,10g:0.2g 20g,国药准字H20083946,,,24.8,
224,金达克宁 酮康唑乳膏 15g,2%15g,国药准字H20043171,月售5份,评分4,24.2,29.8
225,仁和 阿达帕林凝胶 20g(0.1%)/盒,20g,国药准字H20113373,月售3份,,35,
226,百多邦 莫匹罗星软膏 10g,10g(2%),国药准字H10930064,月售15份,评分4.2,26.6,34.6
227,仙特明 盐酸西替利嗪滴剂 5ml:50mg*1瓶,5ml:50mg*1瓶,国药准字H20140730,月售3份,,32,
228,玉林 湿毒清片 0.62g*12片*2板,0.62g*12片*2板,国药准字Z20090854,月售2份,,27.9,
229,神奇 珊瑚癣净 250ml,250mL,国药准字Z52020136,月售2份,评分5,26,
230,玉林 湿毒清胶囊 0.5g*30粒(新老包装随机发货),0.5g*30s,国药准字Z45021731,月售1份,评分4.3,23.6,
231,[维福佳]马来酸氯苯那敏片,,,月售3份,,5.5,
232,白云山 风油精 3ml,3mL,国药准字Z44021847,月售1份,,3.1,
233,百为哈 氯雷他定糖浆 60ml,60mL,国药准字H20070001,月售1份,,28,
234,曼秀雷敦 复方薄荷脑软膏10g,10g,国药准字H20013294,月售3份,评分4.5,13.1,
235,康王 酮康唑洗剂 50ml*1瓶/盒?,50ml*1瓶/盒?,国药准字H20000700,月售4份,,38.6,
236,萘替芬酮康唑乳膏 10g*1支/盒,10g*1支,国药准字H20051949,,,25,
237,虎标 万金油 19.4g,19.4g,国药准字Z20043775,,评分4,23.5,
238,999 曲安奈德益康唑乳膏 20g,20g,国药准字H20074155,月售1份,,31.3,
239,梁介福 斧标驱风油 28ml/盒,28ml/盒,国药准字Z20093691,月售2份,,21.8,
240,信龙 硼酸洗液 3%*250ml,3%*250ml,国药准字H31022883,月售7份,评分4,10.8,
241,皮康王 复方酮康唑软膏（瓶装） 7g,7g,国药准字H53022106,月售3份,,8.5,
242,水仙 风油精 6ml,6ml,国药准字Z35020100,月售1份,评分4.3,6.1,
243,普甘静 甲硝唑凝胶 10g/支/盒,10g/支/盒,国药准字Z10950996,月售3份,,35.8,
244,达克宁 硝酸咪康唑散 20g,20g,国药准字H10930213,,,25.8,
245,龙虎 白色清凉油 18.4g,18.4g,国药准字Z20026718,月售2份,,15.2,
246,999皮炎平 复方醋酸地塞米松乳膏 20g:15mg,20g,国药准字H44024170,月售18份,评分4.4,11.3,15
247,圣济堂 重楼解毒酊 30mlx2瓶,30mlX2瓶,国药准字Z20025808,月售1份,,62,
248,九芝堂 足光散 40g*3袋,40g*3袋,国药准字Z20025430,月售1份,,15,
249,童诺 异维A酸红霉素凝胶 10g*1支/盒,10g*1支/盒,国药准字H20080404,,,28.8,
250,信龙 水杨酸软膏 10g,10g*1支,国药准字H31022879,月售3份,,4.7,
251,【处方药】贝雪 枸地氯雷他定片 8.8mg*6片,8.8mg*6片,国药准字H20090138,,,78,
252,泰尔丝 异维A酸软胶囊 10mg*10粒*2板/盒,10mg*10粒*2板/盒,国药准字H10930210,月售11份,,40,
253,龙虎 风油精 9ml/盒,9mL,国药准字Z32020200,月售5份,评分4,7.3,
254,达克宁 硝酸咪康唑散 40g,40g,国药准字H10930213,月售1份,评分4,52.3,
255,信龙 氧化锌软膏 15%*20g,15%*20g,国药准字H31021231,月售1份,评分4.5,12.6,
256,开思亭 依巴斯汀片 10mg*10片,10mg*10片,国药准字H20140162,月售3份,,34,
257,立思丁 夫西地酸乳膏 15g*1支,15G*1支,国药准字H20090122,月售1份,,32,
